unique.cellid,unique.drugid
WM-793,Irinotecan
WM-983B,Irinotecan
WSU-DLCL2,Irinotecan
YKG-1,Irinotecan
ZR-75-1,Irinotecan
ZR-75-30,Irinotecan
ZR75B,Irinotecan
184A1,Ixabepilone
184B5,Ixabepilone
22RV1,Ixabepilone
23132-87,Ixabepilone
600MPE,Ixabepilone
639-V,Ixabepilone
647-V,Ixabepilone
769-P,Ixabepilone
786-0,Ixabepilone
A204,Ixabepilone
A253,Ixabepilone
A3-KAW,Ixabepilone
A375,Ixabepilone
A4-Fuk,Ixabepilone
A427,Ixabepilone
A431,Ixabepilone
A498,Ixabepilone
A549,Ixabepilone
A673,Ixabepilone
A704,Ixabepilone
ACHN,Ixabepilone
AMO-1,Ixabepilone
AN3-CA,Ixabepilone
ARH-77,Ixabepilone
AsPC-1,Ixabepilone
AU565,Ixabepilone
AU655,Ixabepilone
BC-1,Ixabepilone
BC-2,Ixabepilone
BC-3,Ixabepilone
BCPAP,Ixabepilone
BDCM,Ixabepilone
BE(2)-C,Ixabepilone
BEWO,Ixabepilone
BFTC-905,Ixabepilone
BHT-101,Ixabepilone
BICR 10,Ixabepilone
BICR 16,Ixabepilone
BICR 18,Ixabepilone
BICR 22,Ixabepilone
BICR 31,Ixabepilone
BICR 56,Ixabepilone
BICR 6,Ixabepilone
BICR 78,Ixabepilone
BL-70,Ixabepilone
BPH-1,Ixabepilone
BT-20,Ixabepilone
BT-474,Ixabepilone
BT-483,Ixabepilone
BT-549,Ixabepilone
BV-173,Ixabepilone
BxPC-3,Ixabepilone
C-33-A,Ixabepilone
C-4 I,Ixabepilone
C-4-II,Ixabepilone
C2BBe1,Ixabepilone
C32,Ixabepilone
Ca-Ski,Ixabepilone
CAKI-1,Ixabepilone
Caki-2,Ixabepilone
CAL-120,Ixabepilone
CAL-12T,Ixabepilone
CAL-148,Ixabepilone
CAL-27,Ixabepilone
CAL-51,Ixabepilone
CAL-54,Ixabepilone
CAL-62,Ixabepilone
CAL-85-1,Ixabepilone
Calu-1,Ixabepilone
Calu-3,Ixabepilone
Calu-6,Ixabepilone
CAMA-1,Ixabepilone
Caov-3,Ixabepilone
CAPAN-1,Ixabepilone
Capan-2,Ixabepilone
CCF-STTG1,Ixabepilone
CCRF-CEM,Ixabepilone
CEMC1,Ixabepilone
CFPAC-1,Ixabepilone
CGTH-W-1,Ixabepilone
ChaGo-K-1,Ixabepilone
CHL-1,Ixabepilone
CHP-212,Ixabepilone
CL-34,Ixabepilone
CL-40,Ixabepilone
CML-T1,Ixabepilone
COLO 201,Ixabepilone
COLO 320DM,Ixabepilone
COLO-205,Ixabepilone
COLO-320-HSR,Ixabepilone
COLO-668,Ixabepilone
COLO-678,Ixabepilone
COLO-679,Ixabepilone
COLO-680N,Ixabepilone
COLO-684,Ixabepilone
COLO-699,Ixabepilone
COLO-704,Ixabepilone
COLO-741,Ixabepilone
COLO-792,Ixabepilone
COLO-800,Ixabepilone
COLO-824,Ixabepilone
COLO-829,Ixabepilone
COLO-849,Ixabepilone
COR-L105,Ixabepilone
COR-L23,Ixabepilone
COR-L279,Ixabepilone
COR-L51,Ixabepilone
COR-L88,Ixabepilone
CRO-AP2,Ixabepilone
CRO-AP5,Ixabepilone
CW-2,Ixabepilone
D-283MED,Ixabepilone
D341 Med,Ixabepilone
Daudi,Ixabepilone
DBTRG-05MG,Ixabepilone
Detroit562,Ixabepilone
DG-75,Ixabepilone
DK-MG,Ixabepilone
DLD-1,Ixabepilone
DMS 454,Ixabepilone
DMS-114,Ixabepilone
DMS-153,Ixabepilone
DMS-273,Ixabepilone
DMS-53,Ixabepilone
DMS-79,Ixabepilone
DOHH-2,Ixabepilone
DoTc2-4510,Ixabepilone
DU-145,Ixabepilone
DU-4475,Ixabepilone
DV-90,Ixabepilone
EB-3,Ixabepilone
EBC-1,Ixabepilone
EFM-19,Ixabepilone
EFM-192A,Ixabepilone
EFM-192B,Ixabepilone
EFM-192C,Ixabepilone
EFO-21,Ixabepilone
EFO-27,Ixabepilone
EKVX,Ixabepilone
EM-2,Ixabepilone
EoL-1-cell,Ixabepilone
EPLC-272H,Ixabepilone
ES-2,Ixabepilone
EVSA-T,Ixabepilone
FADU,Ixabepilone
G-292    clone A141B1,Ixabepilone
G-361,Ixabepilone
G-401,Ixabepilone
G-402,Ixabepilone
GA-10,Ixabepilone
GA-10 (Clone 20),Ixabepilone
GDM-1,Ixabepilone
Gp2D,Ixabepilone
HBL-100,Ixabepilone
HCC-1171,Ixabepilone
HCC-1195,Ixabepilone
HCC-1359,Ixabepilone
HCC-15,Ixabepilone
HCC-1833,Ixabepilone
HCC-2108,Ixabepilone
HCC-2279,Ixabepilone
HCC-33,Ixabepilone
HCC-366,Ixabepilone
HCC-44,Ixabepilone
HCC-78,Ixabepilone
HCC1008,Ixabepilone
HCC1143,Ixabepilone
HCC1187,Ixabepilone
HCC1395,Ixabepilone
HCC1419,Ixabepilone
HCC1428,Ixabepilone
HCC1500,Ixabepilone
HCC1569,Ixabepilone
HCC1599,Ixabepilone
HCC1806,Ixabepilone
HCC1937,Ixabepilone
HCC1954,Ixabepilone
HCC202,Ixabepilone
HCC2185,Ixabepilone
HCC2218,Ixabepilone
HCC2688,Ixabepilone
HCC2998,Ixabepilone
HCC3153,Ixabepilone
HCC38,Ixabepilone
HCC70,Ixabepilone
HCC712,Ixabepilone
HCC812,Ixabepilone
HCC827,Ixabepilone
HCT-116,Ixabepilone
HCT-15,Ixabepilone
HCT-8,Ixabepilone
HD-MY-Z,Ixabepilone
HDQ-P1,Ixabepilone
HEC-1,Ixabepilone
HEC-1-A,Ixabepilone
HEC-108,Ixabepilone
HEC-151,Ixabepilone
HEC-251,Ixabepilone
HEC-265,Ixabepilone
HEC-59,Ixabepilone
HEC-6,Ixabepilone
HEK TE,Ixabepilone
HEL 92.1.7,Ixabepilone
HeLa,Ixabepilone
Hep 3B2.1-7,Ixabepilone
Hep G2,Ixabepilone
HEY,Ixabepilone
Hey-A8,Ixabepilone
HL-60,Ixabepilone
HMV-II,Ixabepilone
HOP-62,Ixabepilone
HOP-92,Ixabepilone
HPAF-II,Ixabepilone
Hs 172.T,Ixabepilone
Hs 229.T,Ixabepilone
Hs 255.T,Ixabepilone
Hs 281.T,Ixabepilone
Hs 294T,Ixabepilone
Hs 343.T,Ixabepilone
Hs 600.T,Ixabepilone
Hs 606.T,Ixabepilone
Hs 611.T,Ixabepilone
Hs 616.T,Ixabepilone
Hs 618.T,Ixabepilone
Hs 675.T,Ixabepilone
Hs 683,Ixabepilone
Hs 688(A).T,Ixabepilone
Hs 695T,Ixabepilone
Hs 698.T,Ixabepilone
Hs 706.T,Ixabepilone
Hs 729,Ixabepilone
Hs 737.T,Ixabepilone
Hs 739.T,Ixabepilone
Hs 742.T,Ixabepilone
Hs 746T,Ixabepilone
Hs 766T,Ixabepilone
Hs 819.T,Ixabepilone
Hs 821.T,Ixabepilone
Hs 822.T,Ixabepilone
Hs 834.T,Ixabepilone
Hs 839.T,Ixabepilone
Hs 840.T,Ixabepilone
Hs 852.T,Ixabepilone
Hs 863.T,Ixabepilone
Hs 870.T,Ixabepilone
Hs 888.T,Ixabepilone
Hs 895.T,Ixabepilone
Hs 934.T,Ixabepilone
Hs 936.T,Ixabepilone
Hs 939.T,Ixabepilone
Hs 940.T,Ixabepilone
Hs 944.T,Ixabepilone
Hs-578-T,Ixabepilone
HS-Sultan,Ixabepilone
HSC-2,Ixabepilone
HT-1080,Ixabepilone
HT-115,Ixabepilone
HT-1197,Ixabepilone
HT-1376,Ixabepilone
HT-29,Ixabepilone
HT-3,Ixabepilone
HT55,Ixabepilone
HuH-28,Ixabepilone
HUH-6-clone5,Ixabepilone
HuH-7,Ixabepilone
HuNS1,Ixabepilone
HuP-T3,Ixabepilone
HuP-T4,Ixabepilone
HuT 102,Ixabepilone
HuT 78,Ixabepilone
HUTU-80,Ixabepilone
IGROV-1,Ixabepilone
IM-95,Ixabepilone
Ishikawa (Heraklio) 02 ER-,Ixabepilone
J-RT3-T3-5,Ixabepilone
JEG-3,Ixabepilone
JeKo-1,Ixabepilone
JHH-6,Ixabepilone
JHOC-5,Ixabepilone
JHOM-1,Ixabepilone
JHOS-4,Ixabepilone
JHUEM-2,Ixabepilone
JIMT-1,Ixabepilone
JiyoyeP-2003,Ixabepilone
JM1,Ixabepilone
Jurkat    Clone E6-1,Ixabepilone
JVM-3,Ixabepilone
K-562,Ixabepilone
K052,Ixabepilone
KASUMI-1,Ixabepilone
KASUMI-2,Ixabepilone
KATOIII,Ixabepilone
KE-97,Ixabepilone
KG-1,Ixabepilone
KHOS-240S,Ixabepilone
KM12,Ixabepilone
KMBC-2,Ixabepilone
KMS-11,Ixabepilone
KNS-62,Ixabepilone
KNS-81-FD,Ixabepilone
KP-3,Ixabepilone
KP-4,Ixabepilone
KP-N-S19s,Ixabepilone
KPL-1,Ixabepilone
KYSE-140,Ixabepilone
KYSE-30,Ixabepilone
KYSE-410,Ixabepilone
KYSE-450,Ixabepilone
L-428,Ixabepilone
LC-1/sq-SF,Ixabepilone
LCLC-103H,Ixabepilone
LCLC-97TM1,Ixabepilone
LN-229,Ixabepilone
LNCaP-Clone-FGC,Ixabepilone
LOUCY,Ixabepilone
LoVo,Ixabepilone
LOXIMVI,Ixabepilone
LP-1,Ixabepilone
LS 180,Ixabepilone
LS-1034,Ixabepilone
LS-123,Ixabepilone
LS-174T,Ixabepilone
LS-411N,Ixabepilone
LS-513,Ixabepilone
LU-135,Ixabepilone
LU-65,Ixabepilone
LU-99A,Ixabepilone
LXF-289,Ixabepilone
LY2,Ixabepilone
M14,Ixabepilone
Malme-3M,Ixabepilone
MA-CLS-2,Ixabepilone
MB 157,Ixabepilone
MC-CAR,Ixabepilone
MC-IXC,Ixabepilone
MCF10A,Ixabepilone
MCF10F,Ixabepilone
MCF12A,Ixabepilone
MCF7,Ixabepilone
MDA PCa 2b,Ixabepilone
MDA-MB-134-VI,Ixabepilone
MDA-MB-157,Ixabepilone
MDA-MB-175-VII,Ixabepilone
MDA-MB-231,Ixabepilone
MDA-MB-330,Ixabepilone
MDA-MB-361,Ixabepilone
MDA-MB-415,Ixabepilone
MDA-MB-435,Ixabepilone
MDA-MB-436,Ixabepilone
MDA-MB-453,Ixabepilone
MDA-MB-468,Ixabepilone
MEC-1,Ixabepilone
MEG-01,Ixabepilone
MES-SA,Ixabepilone
Mewo,Ixabepilone
MFE-319,Ixabepilone
MFM-223,Ixabepilone
MG-63,Ixabepilone
MHH-PREB-1,Ixabepilone
MIA-PaCa-2,Ixabepilone
MKN1,Ixabepilone
MKN45,Ixabepilone
MKN7,Ixabepilone
MKN74,Ixabepilone
ML-2,Ixabepilone
MM1-S,Ixabepilone
MOLM-16,Ixabepilone
MOLT-16,Ixabepilone
MOLT-4,Ixabepilone
MOR/CPR,Ixabepilone
MPP-89,Ixabepilone
MSTO-211H,Ixabepilone
MT3,Ixabepilone
MV-4-11,Ixabepilone
MX-1,Ixabepilone
NALM-1,Ixabepilone
NALM-6,Ixabepilone
NB-TU-1-10,Ixabepilone
NB1,Ixabepilone
NB4,Ixabepilone
NC37,Ixabepilone
NCC-IT-A3,Ixabepilone
NCI-ADR-RES,Ixabepilone
NCI-H1048,Ixabepilone
NCI-H1092,Ixabepilone
NCI-H1105,Ixabepilone
NCI-H1155,Ixabepilone
NCI-H1299,Ixabepilone
NCI-H1355,Ixabepilone
NCI-H1373,Ixabepilone
NCI-H1395,Ixabepilone
NCI-H1435,Ixabepilone
NCI-H1436,Ixabepilone
NCI-H1437,Ixabepilone
NCI-H146,Ixabepilone
NCI-H1563,Ixabepilone
NCI-H1568,Ixabepilone
NCI-H157,Ixabepilone
NCI-H1573,Ixabepilone
NCI-H1581,Ixabepilone
NCI-H1618,Ixabepilone
NCI-H1623,Ixabepilone
NCI-H1650,Ixabepilone
NCI-H1651,Ixabepilone
NCI-H1666,Ixabepilone
NCI-H1694,Ixabepilone
NCI-H1703,Ixabepilone
NCI-H1755,Ixabepilone
NCI-H1770,Ixabepilone
NCI-H1781,Ixabepilone
NCI-H1792,Ixabepilone
NCI-H1793,Ixabepilone
NCI-H1836,Ixabepilone
NCI-H1838,Ixabepilone
NCI-H187,Ixabepilone
NCI-H1876,Ixabepilone
NCI-H1915,Ixabepilone
NCI-H1930,Ixabepilone
NCI-H1944,Ixabepilone
NCI-H1963,Ixabepilone
NCI-H1975,Ixabepilone
NCI-H1993,Ixabepilone
NCI-H2009,Ixabepilone
NCI-H2023,Ixabepilone
NCI-H2029,Ixabepilone
NCI-H2030,Ixabepilone
NCI-H2052,Ixabepilone
NCI-H2073,Ixabepilone
NCI-H2081,Ixabepilone
NCI-H2087,Ixabepilone
NCI-H209,Ixabepilone
NCI-H2107,Ixabepilone
NCI-H2110,Ixabepilone
NCI-H2122,Ixabepilone
NCI-H2126,Ixabepilone
NCI-H2141,Ixabepilone
NCI-H2170,Ixabepilone
NCI-H2171,Ixabepilone
NCI-H2172,Ixabepilone
NCI-H2196,Ixabepilone
NCI-H2228,Ixabepilone
NCI-H226,Ixabepilone
NCI-H2286,Ixabepilone
NCI-H23,Ixabepilone
NCI-H2342,Ixabepilone
NCI-H2347,Ixabepilone
NCI-H2405,Ixabepilone
NCI-H28,Ixabepilone
NCI-H292,Ixabepilone
NCI-H295,Ixabepilone
NCI-H322,Ixabepilone
NCI-H3255,Ixabepilone
NCI-H358,Ixabepilone
NCI-H441,Ixabepilone
NCI-H446,Ixabepilone
NCI-H460,Ixabepilone
NCI-H508,Ixabepilone
NCI-H510A,Ixabepilone
NCI-H520,Ixabepilone
NCI-H522,Ixabepilone
NCI-H524,Ixabepilone
NCI-H526,Ixabepilone
NCI-H596,Ixabepilone
NCI-H630,Ixabepilone
NCI-H650,Ixabepilone
NCI-H660,Ixabepilone
NCI-H661,Ixabepilone
NCI-H69,Ixabepilone
NCI-H716,Ixabepilone
NCI-H720,Ixabepilone
NCI-H727,Ixabepilone
NCI-H747,Ixabepilone
NCI-H748,Ixabepilone
NCI-H810,Ixabepilone
NCI-H82,Ixabepilone
NCI-H838,Ixabepilone
NCI-H841,Ixabepilone
NCI-N87,Ixabepilone
NCI-SNU-1,Ixabepilone
NCI-SNU-16,Ixabepilone
NCI-SNU-5,Ixabepilone
NOMO-1,Ixabepilone
NU-DUL-1,Ixabepilone
NUGC-4,Ixabepilone
OAW-28,Ixabepilone
OAW-42,Ixabepilone
OC-314,Ixabepilone
OCI-AML3,Ixabepilone
OCI-LY-7,Ixabepilone
OCI-LY10,Ixabepilone
OCI-LY3,Ixabepilone
OCUB-M,Ixabepilone
OV-90,Ixabepilone
OV56,Ixabepilone
OV7,Ixabepilone
OVCA 420,Ixabepilone
OVCAR-3,Ixabepilone
OVCAR-4,Ixabepilone
OVCAR-5,Ixabepilone
OVCAR-8,Ixabepilone
OVK18,Ixabepilone
P30-OHK,Ixabepilone
P31-FUJ,Ixabepilone
P3HR-1,Ixabepilone
PA-TU-8902,Ixabepilone
Panc 02.03,Ixabepilone
Panc 02.13,Ixabepilone
Panc 03.27,Ixabepilone
Panc 04.03,Ixabepilone
Panc 05.04,Ixabepilone
Panc 08.13,Ixabepilone
Panc 10.05,Ixabepilone
PC-3,Ixabepilone
PE/CA-PJ15,Ixabepilone
PE/CA-PJ34 (clone C12),Ixabepilone
PE/CA-PJ41 (clone D2),Ixabepilone
PE/CA-PJ49,Ixabepilone
PE01,Ixabepilone
PL-21,Ixabepilone
PL45,Ixabepilone
PLC-PRF-5,Ixabepilone
QGP-1,Ixabepilone
Raji,Ixabepilone
RCH-ACV,Ixabepilone
RCM-1,Ixabepilone
RD-ES,Ixabepilone
REC-1,Ixabepilone
REH,Ixabepilone
RERF-LC-KJ,Ixabepilone
RKO-E6,Ixabepilone
RL95-2,Ixabepilone
RMG-I,Ixabepilone
RMUG-S,Ixabepilone
RPMI-2650,Ixabepilone
RPMI-6666,Ixabepilone
RPMI-8226,Ixabepilone
RS4;11,Ixabepilone
RWPE1,Ixabepilone
RXF393,Ixabepilone
Saos-2,Ixabepilone
SC-1,Ixabepilone
SCaBER,Ixabepilone
SCC-15,Ixabepilone
SCC-25,Ixabepilone
SCC-4,Ixabepilone
SCC-9,Ixabepilone
SCLC-21H,Ixabepilone
Set-2,Ixabepilone
SF268,Ixabepilone
SF295,Ixabepilone
SF539,Ixabepilone
SH-10-TC,Ixabepilone
SH-4,Ixabepilone
SHP-77,Ixabepilone
SiHa,Ixabepilone
SJSA-1,Ixabepilone
SK-BR-3,Ixabepilone
SK-BR-5,Ixabepilone
SK-BR-7,Ixabepilone
SK-CO-1,Ixabepilone
SK-LMS-1,Ixabepilone
SK-LU-1,Ixabepilone
SK-MEL-1,Ixabepilone
SK-MEL-2,Ixabepilone
SK-MEL-28,Ixabepilone
SK-MEL-3,Ixabepilone
SK-MEL-5,Ixabepilone
SK-MES-1,Ixabepilone
SK-N-AS,Ixabepilone
SK-N-BE(2),Ixabepilone
SK-N-DZ,Ixabepilone
SK-N-FI,Ixabepilone
SK-NEP-1,Ixabepilone
SK-OV-3,Ixabepilone
SK-UT-1,Ixabepilone
SKM-1,Ixabepilone
SN12C,Ixabepilone
SNB19,Ixabepilone
SNB75,Ixabepilone
SNG-M,Ixabepilone
SNU-1,Ixabepilone
SNU-1040,Ixabepilone
SNU-16,Ixabepilone
SNU-175,Ixabepilone
SNU-182,Ixabepilone
SNU-387,Ixabepilone
SNU-398,Ixabepilone
SNU-423,Ixabepilone
SNU-449,Ixabepilone
SNU-475,Ixabepilone
SNU-5,Ixabepilone
SNU-61,Ixabepilone
SNU-81,Ixabepilone
SNU-840,Ixabepilone
SNU-C2A,Ixabepilone
SNU-C4,Ixabepilone
SNU-C5,Ixabepilone
Sq-1,Ixabepilone
SR,Ixabepilone
SU-DHL-10,Ixabepilone
SU-DHL-16,Ixabepilone
SU-DHL-4,Ixabepilone
SU-DHL-5,Ixabepilone
SU-DHL-6,Ixabepilone
SU.86.86,Ixabepilone
SUIT-2,Ixabepilone
SUM 1315M02,Ixabepilone
SUM 149PT,Ixabepilone
SUM 159PT,Ixabepilone
SUM 229PE,Ixabepilone
SUM225CWN,Ixabepilone
SUM 52PE,Ixabepilone
SUM102PT,Ixabepilone
SUM185PE,Ixabepilone
SUM44PE,Ixabepilone
SW 1271,Ixabepilone
SW 1353,Ixabepilone
SUM 190,Ixabepilone
SW 527,Ixabepilone
SW1088,Ixabepilone
SW1116,Ixabepilone
SW13,Ixabepilone
SW1417,Ixabepilone
SW1463,Ixabepilone
SW1573,Ixabepilone
SW1710,Ixabepilone
SW1783,Ixabepilone
SW1990,Ixabepilone
SW403,Ixabepilone
SW48,Ixabepilone
SW480,Ixabepilone
SW620,Ixabepilone
SW626,Ixabepilone
SW780,Ixabepilone
SW837,Ixabepilone
SW900,Ixabepilone
SW948,Ixabepilone
SW982,Ixabepilone
T-24,Ixabepilone
T3M-10,Ixabepilone
T47D,Ixabepilone
TE 125.T,Ixabepilone
TE 159.T,Ixabepilone
TE 441.T,Ixabepilone
TE 617.T,Ixabepilone
THP-1,Ixabepilone
TI-73,Ixabepilone
TK10,Ixabepilone
TO 175.T,Ixabepilone
Toledo,Ixabepilone
TYK-nu,Ixabepilone
U-118-MG,Ixabepilone
U-138 MG,Ixabepilone
U-2-OS,Ixabepilone
U-266,Ixabepilone
U-87-MG,Ixabepilone
U-937,Ixabepilone
U251,Ixabepilone
UACC-257,Ixabepilone
UACC-3199,Ixabepilone
UACC-62,Ixabepilone
UACC-812,Ixabepilone
UACC-893,Ixabepilone
UM-UC-3,Ixabepilone
UMC-11,Ixabepilone
UO31,Ixabepilone
VCaP,Ixabepilone
VM-CUB-1,Ixabepilone
VMRC-LCD,Ixabepilone
VMRC-RCW,Ixabepilone
WIDR,Ixabepilone
WM-115,Ixabepilone
WM-266-4,Ixabepilone
WM-793,Ixabepilone
WM-983B,Ixabepilone
WSU-DLCL2,Ixabepilone
YKG-1,Ixabepilone
ZR-75-1,Ixabepilone
ZR-75-30,Ixabepilone
ZR75B,Ixabepilone
184A1,Mitomycin-C
184B5,Mitomycin-C
22RV1,Mitomycin-C
23132-87,Mitomycin-C
600MPE,Mitomycin-C
639-V,Mitomycin-C
647-V,Mitomycin-C
769-P,Mitomycin-C
786-0,Mitomycin-C
A204,Mitomycin-C
A253,Mitomycin-C
A3-KAW,Mitomycin-C
A375,Mitomycin-C
A4-Fuk,Mitomycin-C
A427,Mitomycin-C
A431,Mitomycin-C
A498,Mitomycin-C
A549,Mitomycin-C
A673,Mitomycin-C
A704,Mitomycin-C
ACHN,Mitomycin-C
AMO-1,Mitomycin-C
AN3-CA,Mitomycin-C
ARH-77,Mitomycin-C
AsPC-1,Mitomycin-C
AU565,Mitomycin-C
AU655,Mitomycin-C
BC-1,Mitomycin-C
BC-2,Mitomycin-C
BC-3,Mitomycin-C
BCPAP,Mitomycin-C
BDCM,Mitomycin-C
BE(2)-C,Mitomycin-C
BEWO,Mitomycin-C
BFTC-905,Mitomycin-C
BHT-101,Mitomycin-C
BICR 10,Mitomycin-C
BICR 16,Mitomycin-C
BICR 18,Mitomycin-C
BICR 22,Mitomycin-C
BICR 31,Mitomycin-C
BICR 56,Mitomycin-C
BICR 6,Mitomycin-C
BICR 78,Mitomycin-C
BL-70,Mitomycin-C
BPH-1,Mitomycin-C
BT-20,Mitomycin-C
BT-474,Mitomycin-C
BT-483,Mitomycin-C
BT-549,Mitomycin-C
BV-173,Mitomycin-C
BxPC-3,Mitomycin-C
C-33-A,Mitomycin-C
C-4 I,Mitomycin-C
C-4-II,Mitomycin-C
C2BBe1,Mitomycin-C
C32,Mitomycin-C
Ca-Ski,Mitomycin-C
CAKI-1,Mitomycin-C
Caki-2,Mitomycin-C
CAL-120,Mitomycin-C
CAL-12T,Mitomycin-C
CAL-148,Mitomycin-C
CAL-27,Mitomycin-C
CAL-51,Mitomycin-C
CAL-54,Mitomycin-C
CAL-62,Mitomycin-C
CAL-85-1,Mitomycin-C
Calu-1,Mitomycin-C
Calu-3,Mitomycin-C
Calu-6,Mitomycin-C
CAMA-1,Mitomycin-C
Caov-3,Mitomycin-C
CAPAN-1,Mitomycin-C
Capan-2,Mitomycin-C
CCF-STTG1,Mitomycin-C
CCRF-CEM,Mitomycin-C
CEMC1,Mitomycin-C
CFPAC-1,Mitomycin-C
CGTH-W-1,Mitomycin-C
ChaGo-K-1,Mitomycin-C
CHL-1,Mitomycin-C
CHP-212,Mitomycin-C
CL-34,Mitomycin-C
CL-40,Mitomycin-C
CML-T1,Mitomycin-C
COLO 201,Mitomycin-C
COLO 320DM,Mitomycin-C
COLO-205,Mitomycin-C
COLO-320-HSR,Mitomycin-C
COLO-668,Mitomycin-C
COLO-678,Mitomycin-C
COLO-679,Mitomycin-C
COLO-680N,Mitomycin-C
COLO-684,Mitomycin-C
COLO-699,Mitomycin-C
COLO-704,Mitomycin-C
COLO-741,Mitomycin-C
COLO-792,Mitomycin-C
COLO-800,Mitomycin-C
COLO-824,Mitomycin-C
COLO-829,Mitomycin-C
COLO-849,Mitomycin-C
COR-L105,Mitomycin-C
COR-L23,Mitomycin-C
COR-L279,Mitomycin-C
COR-L51,Mitomycin-C
COR-L88,Mitomycin-C
CRO-AP2,Mitomycin-C
CRO-AP5,Mitomycin-C
CW-2,Mitomycin-C
D-283MED,Mitomycin-C
D341 Med,Mitomycin-C
Daudi,Mitomycin-C
DBTRG-05MG,Mitomycin-C
Detroit562,Mitomycin-C
DG-75,Mitomycin-C
DK-MG,Mitomycin-C
DLD-1,Mitomycin-C
DMS 454,Mitomycin-C
DMS-114,Mitomycin-C
DMS-153,Mitomycin-C
DMS-273,Mitomycin-C
DMS-53,Mitomycin-C
DMS-79,Mitomycin-C
DOHH-2,Mitomycin-C
DoTc2-4510,Mitomycin-C
DU-145,Mitomycin-C
DU-4475,Mitomycin-C
DV-90,Mitomycin-C
EB-3,Mitomycin-C
EBC-1,Mitomycin-C
EFM-19,Mitomycin-C
EFM-192A,Mitomycin-C
EFM-192B,Mitomycin-C
EFM-192C,Mitomycin-C
EFO-21,Mitomycin-C
EFO-27,Mitomycin-C
EKVX,Mitomycin-C
EM-2,Mitomycin-C
EoL-1-cell,Mitomycin-C
EPLC-272H,Mitomycin-C
ES-2,Mitomycin-C
EVSA-T,Mitomycin-C
FADU,Mitomycin-C
G-292    clone A141B1,Mitomycin-C
G-361,Mitomycin-C
G-401,Mitomycin-C
G-402,Mitomycin-C
GA-10,Mitomycin-C
GA-10 (Clone 20),Mitomycin-C
GDM-1,Mitomycin-C
Gp2D,Mitomycin-C
HBL-100,Mitomycin-C
HCC-1171,Mitomycin-C
HCC-1195,Mitomycin-C
HCC-1359,Mitomycin-C
HCC-15,Mitomycin-C
HCC-1833,Mitomycin-C
HCC-2108,Mitomycin-C
HCC-2279,Mitomycin-C
HCC-33,Mitomycin-C
HCC-366,Mitomycin-C
HCC-44,Mitomycin-C
HCC-78,Mitomycin-C
HCC1008,Mitomycin-C
HCC1143,Mitomycin-C
HCC1187,Mitomycin-C
HCC1395,Mitomycin-C
HCC1419,Mitomycin-C
HCC1428,Mitomycin-C
HCC1500,Mitomycin-C
HCC1569,Mitomycin-C
HCC1599,Mitomycin-C
HCC1806,Mitomycin-C
HCC1937,Mitomycin-C
HCC1954,Mitomycin-C
HCC202,Mitomycin-C
HCC2185,Mitomycin-C
HCC2218,Mitomycin-C
HCC2688,Mitomycin-C
HCC2998,Mitomycin-C
HCC3153,Mitomycin-C
HCC38,Mitomycin-C
HCC70,Mitomycin-C
HCC712,Mitomycin-C
HCC812,Mitomycin-C
HCC827,Mitomycin-C
HCT-116,Mitomycin-C
HCT-15,Mitomycin-C
HCT-8,Mitomycin-C
HD-MY-Z,Mitomycin-C
HDQ-P1,Mitomycin-C
HEC-1,Mitomycin-C
HEC-1-A,Mitomycin-C
HEC-108,Mitomycin-C
HEC-151,Mitomycin-C
HEC-251,Mitomycin-C
HEC-265,Mitomycin-C
HEC-59,Mitomycin-C
HEC-6,Mitomycin-C
HEK TE,Mitomycin-C
HEL 92.1.7,Mitomycin-C
HeLa,Mitomycin-C
Hep 3B2.1-7,Mitomycin-C
Hep G2,Mitomycin-C
HEY,Mitomycin-C
Hey-A8,Mitomycin-C
HL-60,Mitomycin-C
HMV-II,Mitomycin-C
HOP-62,Mitomycin-C
HOP-92,Mitomycin-C
HPAF-II,Mitomycin-C
Hs 172.T,Mitomycin-C
Hs 229.T,Mitomycin-C
Hs 255.T,Mitomycin-C
Hs 281.T,Mitomycin-C
Hs 294T,Mitomycin-C
Hs 343.T,Mitomycin-C
Hs 600.T,Mitomycin-C
Hs 606.T,Mitomycin-C
Hs 611.T,Mitomycin-C
Hs 616.T,Mitomycin-C
Hs 618.T,Mitomycin-C
Hs 675.T,Mitomycin-C
Hs 683,Mitomycin-C
Hs 688(A).T,Mitomycin-C
Hs 695T,Mitomycin-C
Hs 698.T,Mitomycin-C
Hs 706.T,Mitomycin-C
Hs 729,Mitomycin-C
Hs 737.T,Mitomycin-C
Hs 739.T,Mitomycin-C
Hs 742.T,Mitomycin-C
Hs 746T,Mitomycin-C
Hs 766T,Mitomycin-C
Hs 819.T,Mitomycin-C
Hs 821.T,Mitomycin-C
Hs 822.T,Mitomycin-C
Hs 834.T,Mitomycin-C
Hs 839.T,Mitomycin-C
Hs 840.T,Mitomycin-C
Hs 852.T,Mitomycin-C
Hs 863.T,Mitomycin-C
Hs 870.T,Mitomycin-C
Hs 888.T,Mitomycin-C
Hs 895.T,Mitomycin-C
Hs 934.T,Mitomycin-C
Hs 936.T,Mitomycin-C
Hs 939.T,Mitomycin-C
Hs 940.T,Mitomycin-C
Hs 944.T,Mitomycin-C
Hs-578-T,Mitomycin-C
