Symbol,Approved.Symbol
60B8AG,S100A8
60B8AG,S100A9
60H,HMGN2P12
64KD,LMOD1
6530404F10RIK,KCTD18
6530406P05RIK,GPR165P
6A3-5,ARID1B
6C6-AG,BCAP31
6CKINE,CCL21
6PGL,PGLS
Jul-60,OGFR
71-7A,OFD1
71-7A2,OFD1P18Y
71-7A3,OFD1P17
71-7A5,OFD1P17
721P,AKAP17A
753P9,SASH3
76P,TUBGCP4
7A5,MACC1
7B2,SCG5
7B4,CDH5
7H3,SYDE1
7L1A,RN7SL1
7L23,RN7SL7P
7L28,RN7SL4P
7L30.1,RN7SL2
7L30.2,RN7SL3
7L63,RN7SL8P
7L7,RN7SL6P
7LEM1,RN7SL5P
7SK,RN7SK
7SL,RN7SL1
7SL1C,RN7SL2
80K-L,MARCKS
82-FIP,NUFIP2
87U6,RNU6V
87U6,GNAI3
8B,SYNE1
8D6,CD320
8D6A,CD320
8HS20,VPREB3
27-Sep,IFITM1
90K,LGALS3BP
9630046K23RIK,POGLUT1
9F,FAM50A
9G8,SRSF7
9G8,SLU7
A-152E5.1,CCL22
A-2,GPR162
A-761H5.2,CDC37P1
A-923A4.1,ACSM2A
A-FABP,FABP4
A-LAP,ERAP1
A-MYB,MYBL1
A-SCID,DCLRE1C
A1,ATP6V0A1
A1,RFC1
A1,RFC2
A1,RFC4
A1-5,ZNF2
A10,IGKV6D-21
A121,EIF1
A14GALT,A4GALT
A15,TSPAN7
A170,SQSTM1
A1A,SERPINA1
A1AT,SERPINA1
A1B,SNTB1
A1BG-AS,A1BG-AS1
A1BGAS,A1BG-AS1
A1S9T,UBA1
A1U,UBQLN4
A2,ATP6V0A2
A2,SGCA
A2,C21orf2
A2,GPHA2
A20,TNFAIP3
A20,IGKV1-27
A211C6.1,LYRM1
A214N16.3,PRUNE2
A26,IGKV6-21
A26A1,POTEA
A26B1,POTEB
A26B2,POTEC
A26B3,POTED
A26C1,POTEE
A26C1A,POTEE
A26C1B,POTEF
A26C2,POTEG
A26C3,POTEH
A28-RGS14,RGS16
A2AP,SERPINF2
A2BP1,RBFOX1
A2D,ATXN2L
A2HS,AHSG
A2LD1,GGACT
A2LP,ATXN2L
A2MP,A2MP1
A2MR,LRP1
A2MRAP,LRPAP1
A3,TCIRG1
A30,IGKV1-17
A33,GPA33
A3A,DAG1
A3B,SGCB
A3GALNT,GBGT1
A3GALNT,ABO
A3GALT1,ABO
A3GALT2P,A3GALT2
A4,ATP6V0A4
A4,SGCG
A4,PLP2
A4-LSB,PLP2
A6,TWF1
A6L,MT-ATP8
A6PS1,TWF1P1
A6PS2,TWF1P2
A6R,TWF2
A6RP,TWF2
A8-51,ZNF3
AA,TEAD1
AAA1,NPSR1-AS1
AAAT,SLC1A5
AAC-11,API5
AAC1,NAT1
AAC11,API5
AAC2,NAT2
AACP,NATP
AACSL,AACSP1
AACT,SERPINA3
AADACL1,NCEH1
AADC,DDC
AAF132,CTC1
AAG3,SRSF7
AAIR8193,APOOL
AAKG,PRKAG2
AAKG2,PRKAG2
AAOPD,PARK10
AAP,SERPINF2
AAP1,RYBP
AARSL,AARS2
AASD-PPT,AASDHPPT
AAT,SERPINA1
AAT1,MAATS1
AAT1ALPHA,MAATS1
AATYK,AATK
AATYK1,AATK
AATYK2,LMTK2
AAV,AAVS1
AB014085.4,HCG19P
AB023048.2,HCG21
AB023051.1,HCG20
AB023060.6,POLR2LP
ABAD,HSD17B10
ABBA-1,MTSS1L
ABBP1,HNRNPAB
ABC-C,ABCA3
ABC1,HEATR6
ABC1,ABCA1
ABC16,ABCB11
ABC2,ABCA2
ABC20,ABCB1
ABC28,ABCF2
ABC3,ABCA3
ABC35,CFTR
ABC36,ABCC8
ABC50,ABCF1
ABC7,ABCB7
ABC8,ABCG1
ABCA11,ABCA11P
ABCB10P,ABCB10P1
ABCB10P2,ABCB10P1
ABCB2,TAP1
ABCB3,TAP2
ABCB5ALPHA,ABCB5
ABCB5BETA,ABCB5
ABCC7,CFTR
ABCD-1,CCL22
ABCD-2,CCL17
ABCD-3,CX3CL1
ABCP,ABCG2
ABCR,ABCA4
ABCX,ABCA7
ABF-1,MSC
ABH,ALKBH1
ABH2,ALKBH2
ABHD12A,ABHD12
ABHD17AP2,ABHD17AP1
ABHD7,EPHX4
ABHD9,EPHX3
ABI-1,ABI1
ABI-2,ABI2
ABI1P,ABI1P1
ABI2B,ABI2
ABIN-1,TNIP1
ABIN-2,TNIP2
ABIN-3,TNIP3
ABL,MTTP
ABL,ABL1
ABLBP3,ABI2
ABLIM,ABLIM1
ABLL,ABL2
ABP,SHBG
ABP-278,FLNB
ABP-280,FLNA
ABP-280,FLNC
ABP1,AOC1
ABP125,SEC31A
ABP130,SEC31A
ABP620,MACF1
ABPA1P,SCGB1B1P
ABPBG1P,SCGB2B1P
ABPL,FLNC
ABRA1,FAM175A
ABRO1,FAM175B
ABS,DDX41
ABTB2A,ABTB2
ABTB2B,BTBD11
AC,ASAH1
AC004542.C22.1,MORC2
AC004997.C22.2,TBC1D10A
AC012044.5,FAM25E
AC022026.3,RPSAP6
AC022389.4,LRIT2
AC022394.1,HMGN2P8
AC023283.3,ENO4
AC023904.2,LINC01553
AC026166.2-001,MTCO1P5
AC073585.2,FAM24B
AC073585.4,FAM24A
AC096655.1-002,GACAT1
AC1,C4orf6
AC1,ADCY1
AC133,PROM1
AC2,ADCY2
AC3,ADCY3
AC3-33,C3orf33
AC4,ADCY4
AC45,ATP6AP1
AC5,ADCY5
AC6,ADCY6
AC7,ADCY7
AC8,ADCY8
AC9,ADCY9
ACA1,SNORA1
ACA10,SNORA10
ACA11,SCARNA22
ACA12,SCARNA23
ACA13,SNORA13
ACA14A,SNORA14A
ACA14B,SNORA14B
ACA15,SNORA15
ACA16,SNORA16A
ACA17,SNORA17
ACA18,SNORA18
ACA19,SNORA19
ACA20,SNORA20
ACA21,SNORA21
ACA22,SNORA22
ACA23,SNORA23
ACA24,SNORA24
ACA25,SNORA25
ACA26,SCARNA4
ACA27,SNORA27
ACA28,SNORA28
ACA29,SNORA29
ACA2A,SNORA2A
ACA2B,SNORA2B
ACA3,SNORA45A
ACA3-2,SNORA45B
ACA30,SNORA30
ACA31,SNORA31
ACA32,SNORA32
ACA33,SNORA33
ACA34,SNORA34
ACA35,SCARNA1
ACA36,SNORA36A
ACA36B,SNORA36B
ACA37,SNORA37
ACA38,SNORA38
ACA39,SNORA71E
ACA4,SNORA4
ACA40,SNORA40
ACA41,SNORA41
ACA42,SNORA80E
ACA43,SNORA43
ACA44,SNORA44
ACA45,SCARNA15
ACA46,SNORA46
ACA47,SCARNA16
ACA48,SNORA48
ACA49,SNORA49
ACA5,SNORA5A
ACA50,SNORA76A
ACA51,SNORA51
ACA52,SNORA52
ACA53,SNORA53
ACA54,SNORA54
ACA55,SNORA55
ACA56,SNORA56
ACA57,SCARNA11
ACA58,SNORA58
ACA59,SNORA59A
ACA59,SNORA59B
ACA5B,SNORA5B
ACA5C,SNORA5C
ACA6,SNORA6
ACA60,SNORA60
ACA61,SNORA61
ACA62,SNORA76C
ACA63,SNORA77
ACA64,SNORA78
ACA65,SNORA79
ACA66,SCARNA20
ACA67,SNORA80A
ACA67B,SNORA80B
ACA68,SCARNA21
ACA7,SNORA7A
ACA7B,SNORA7B
ACA8,SNORA8
ACA9,SNORA9
ACAC,ACACA
ACAD1,ACADM
ACAD2,IVD
ACAD3,ACADS
ACAD4,ACADL
ACAD5,GCDH
ACAD6,ACADVL
ACAD7,ACADSB
ACAM,CLMP
ACAS2,ACSS2
ACAS2L,ACSS1
ACAT,SOAT1
ACAT,ACAT1
ACAT2,SOAT2
ACAT2,ACAT2
ACATE2,ACOT9
ACATN,SLC33A1
ACBD1,DBI
ACBD2,ECI2
ACBP,CPN2
ACBP,DBI
ACC,ACACA
ACC-1,BCL2A1
ACC-2,BCL2A1
ACC-4,CTSH
ACC-5,CTSH
ACC-6,HMSD
ACC1,ACACA
ACC2,ACACB
ACCA,GPR3
ACCB,ACACB
ACCN,ASIC2
ACCN1,ASIC2
ACCN2,ASIC1
ACCN3,ASIC3
ACCN4,ASIC4
ACCN5,ASIC5
ACCPN,SLC12A6
ACDC,ADIPOQ
ACDCR1,ADIPOR1
ACDCR2,ADIPOR2
ACDP1,CNNM1
ACDP2,CNNM2
ACDP3,CNNM3
ACDP4,CNNM4
ACE1,ACE
ACECS,ACSS2
ACECS2L,ACSS1
ACF,A1CF
ACF1,BAZ1A
ACF64,A1CF
ACF65,A1CF
ACF7,MACF1
ACG,DOCK11
ACGNAT,GLYAT
ACH,FGFR3
ACH1,ACOT7
ACH2,ACOT1
ACHAP,CUTA
ACHERON,LARP6
ACHM1,CNGB3
ACHM2,CNGA3
ACHM3,CNGB3
ACHM4,GNAT2
ACHM5,PDE6C
ACHP,LMBR1
ACHRD,CHRND
ACHRE,CHRNE
ACHRG,CHRNG
ACID1,MED25
ACINUS,ACIN1
ACK,TNK2
ACK1,TNK2
ACKR5,CCRL2
ACKR6,PITPNM3
ACL,ACLY
ACLP,AEBP1
ACLS,GLI3
ACLS,ACLS
ACNATP,BAATP1
ACO,KLK15
ACOD4,SCD5
ACONM,ACO2
ACP,NDUFAB1
ACP-3,ACPP
ACP3,ACPP
ACP33,SPG21
ACPA,PRTN3
ACPL,IL18RAP
ACPL1,ACP6
ACPL2,PXYLP1
ACR1,PRDX5
ACRG,COMMD6
ACRP,SPAG7
ACRP30,ADIPOQ
ACS,ACSS2
ACS,ACCS
ACS1,ACSL1
ACS2,ACSL6
ACS2,ACSL5
ACS3,TWIST1
ACS3,ACSL3
ACS4,ACSL4
ACS5,ACSL5
ACSA,ACSS2
ACSB,SLC27A5
ACSF1,AACS
ACSF4,AASDH
ACSM2,ACSM2B
ACSM2,ACSM2A
ACSMW,ACSF2
ACSVL1,SLC27A2
ACSVL2,SLC27A6
ACSVL3,SLC27A3
ACSVL4,SLC27A4
ACSVL5,SLC27A1
ACSVL6,SLC27A5
ACT,SERPINA3
ACT,FHL5
ACT,ACOT7
ACT,POTEM
ACT-2,CCL4
ACT1,TRAF3IP2
ACT1GP1,ACTG1P1
ACT35,TNFRSF4
ACTA,ACTA1
ACTA3,ACTG2
ACTBL1,POTEH
ACTBL3,POTEKP
ACTBP2,ACTBP8
ACTBP2,ACTBP2
ACTC,ACTC1
ACTDP,DSTN
ACTG,ACTG1
ACTGP1,ACTG1P1
ACTGP10,ACTG1P10
ACTGP2,ACTG1P2
ACTGP3,ACTG1P3
ACTGP4,ACTG1P4
ACTGP5,ACTBP12
ACTGP6,ACTG1P6
ACTGP7,ACTG1P7
ACTGP8,ACTG1P8
ACTGP9,ACTG1P9
ACTH,POMC
ACTHR,MC2R
ACTIVIN,INHBE
ACTL1,ACTG1P10
ACTL2,ACTG1P2
ACTL3,ACTG2
ACTL6,ACTL6A
ACTL6,ACTL6B
ACTR,NCOA3
ACTR-IIB,ACVR2B
ACTR11,ACTR10
ACTRIB,ACVR1B
ACTRII,ACVR2A
ACTSA,ACTA2
ACTSG,ACTG2
ACV,ITPR1
ACVR1A,ACVR1
ACVR2,ACVR2A
ACVRIP1,MAGI2
ACVRLK1,ACVRL1
ACVRLK2,ACVR1
ACVRLK3,BMPR1A
ACVRLK4,TGFBR1
ACVRLK4,ACVR1B
ACVRLK7,ACVR1C
ACY-3,ACY3
ACY1L,CCDC102B
ACY1L2,PM20D2
ACY2,ASPA
ACYL3P,OACYLP
ACZ,PCLO
AD-003,NTMT1
AD-004,TAF9
AD-005,CNOT1
AD-015,VIMP
AD-017,GLT8D1
AD-020,TMEM167B
AD-FSP,ATL1
AD002,CWC15
AD023,MIF4GD
AD024,SPC25
AD025,PLGRKT
AD026,ADORA3
AD026,TMIGD3
AD029,GPALPP1
AD031,TMEM133
AD034,RIOK1
AD035,GBA2
AD037,RASSF4
AD1,APP
AD158,LRRC8C
AD2,APOE
AD24,NOC3L
AD3,TBC1D8
AD3,PSEN1
AD3L,PSEN2
AD4,PSEN2
AD4BP,NR5A1
ADA1,TADA1
ADA2,TADA2A
ADA2A,TADA2A
ADA3,TADA3
ADAM-TS10,ADAMTS10
ADAM-TS2,ADAMTS2
ADAM-TS6,ADAMTS6
ADAM-TS7,ADAMTS7
ADAM-TS8,ADAMTS8
ADAM1,ADAM1A
ADAM1P,ADAM1A
ADAM21P,ADAM21P1
ADAM23,ADAM28
ADAM23,ADAM23
ADAM27,ADAM18
ADAM3,ADAM3A
ADAM31,ADAM21
ADAM5P,ADAM5
ADAMTS-2,ADAMTS4
ADAMTS-3,ADAMTS2
ADAMTS-4,ADAMTS3
ADAMTS11,ADAMTS5
ADAMTS16S,ADAMTS16
ADAMTS21,ADAMTS18
ADAMTS7P2,ADAMTS7P1
ADAMTSL6,THSD4
ADAMTSR1,ADAMTSL1
ADANE,RANBP2
ADAP-S,AGPS
ADAP6,AKAP6
ADAR1,ADAR
ADAR2,ADARB1
ADAR2A,ADARB1
ADAR2A-L1,ADARB1
ADAR2A-L2,ADARB1
ADAR2A-L3,ADARB1
ADAR2B,ADARB1
ADAR2C,ADARB1
ADAR2D,ADARB1
ADAR2G,ADARB1
ADAR3,ADARB2
ADAS,AGPS
ADB2,ITGAD
ADC,AZIN2
ADCA,PDYN
ADCAD2,LRP6
ADCAII,ATXN7
ADCME,FCMTE2
ADCP2,DPP4
ADCR,WT2
ADCY3,ADCY8
ADCY3,ADCY3
ADDB,ADD2
ADDL,ADD3
ADE2H1,PAICS
ADF,DSTN
ADFP,PLIN2
ADG-90,GFOD1
ADGF,CECR1
ADH,AVP
ADH-2,ADH4
ADH-3,ADH5
ADH-4,ADH7
ADH-5,ADH6
ADH1,ADH1A
ADH2,ADH1B
ADH3,ADH1C
ADH5B,ADH5P4
ADHALIN,SGCA
ADHAPS,AGPS
ADHFE1,ADHFE1
ADHX,ADH5
ADIPONECTIN,ADIPOQ
ADIPONUTRIN,PNPLA3
ADIPOQ,ADIPOQ
ADIR,TOR3A
ADIR2,TOR3A
ADL,SGCA
ADLICANP,MXRA5Y
ADMCKD,MUC1
ADMCKD1,MUC1
ADMCKD2,MCKD2
ADMLX,KAL1
ADMLY,KALP
ADMP,SPTSSB
ADMP-1,ADAMTS4
ADMP-2,ADAMTS5
ADMR,GPR182
ADN,CFD
ADNIV,CAPN5
ADNP1,ADNP
ADOPLIN-2,ORMDL2
ADORA2,ADORA2A
ADORA2BP,ADORA2BP1
ADP,WDTC1
ADP-GK,ADPGK
ADPLA,PLA2G16
ADPN,PNPLA3
ADPRT,PARP1
ADPRT3,PARP3
ADPRTL1,PARP4
ADPRTL1P,PARP4P1
ADPRTL2,PARP2
ADPRTL3,PARP3
ADPRTL4,PARP4P3
ADPRTP1,PARP1P1
ADPRTP2,PARP1P2
ADPS,AGPS
ADPSP,SPAST
ADRA1,ADRA1D
ADRA1A,ADRA1D
ADRA1C,ADRA1A
ADRA1L1,ADRA1A
ADRA1R,ADRA1D
ADRA2,ADRA2A
ADRA2L1,ADRA2B
ADRA2L2,ADRA2C
ADRA2R,ADRA2A
ADRA2RL1,ADRA2B
ADRA2RL2,ADRA2C
ADRAR,ADRA2A
ADRARL1,ADRA2B
ADRARL2,ADRA2C
ADRB1R,ADRB1
ADRB2R,ADRB2
ADRB2RL1,HTR1A
ADRBR,ADRB2
ADRBRL1,HTR1A
ADRENOLEUKODYSTROPHY,ABCD1
ADRP,PLIN2
ADSA,RNF170
ADSEVERIN,SCIN
ADSF,RETN
ADTAA,AP2A1
ADTAB,AP2A2
ADTB1,AP1B1
ADTB1L1,AP1B1P1
ADTB1L2,AP1B1P2
ADTB2,AP2B1
ADTB3A,AP3B1
ADTD,AP3D1
ADTG,AP1G1
ADVIL,AVIL
ADX,FDX1
ADXP1,FDX1P1
ADXR,FDXR
AE01,NBPF9
AE1,SLC4A1
AE2,SLC4A2
AE2,NBPF3
AE3,SLC4A3
AE4,SLC4A9
AEG-1,MTDH
AEG2,CRISP3
AEGL1,CRISP1
AEGP,MAMDC4
AEMK,KCNA1
AEP2,SPATA32
AEPLC,BACE2
AER61,EOGT
AEZ,SLC39A4
AF,PSMD4
AF-1,IFNGR2
AF-1,PSMD4
AF-1P,EPS15
AF-4,AFF1
AF-6,MLLT4
AF-9,MLLT3
AF020591,ZNF544
AF1,EFNA5
AF10,MLLT10
AF15Q14,CASC5
AF17,MLLT6
AF17Q25,9-Sep
AF1Q,MLLT11
AF3P21,NCKIPSD
AF4,AFF1
AF5Q31,AFF4
AF6,MLLT4
AF6Q21,FOXO3
AF9,MLLT3
AF9Q34,DAB2IP
AFAF,EQTN
AFAP,AFAP1
AFAP-110,AFAP1
AFAP1-AS,AFAP1-AS1
AFAP1AS,AFAP1-AS1
AFAR,AKR7A2
AFAR3,AKR7L
AFARP1,AKR7A2P1
AFBP,IGFBP1
AFCP,CAPG
AFG1,LACE1
AFG2,SPATA5
AFG3,AFG3L1P
AFG3L1,AFG3L1P
AFG3L2P,AFG3L2P1
AFGF,FGF1
AFI1A,DENND6A
AFI1B,DENND6B
AFRO,ADIRF
AFT,CMTR2
AFURS1,ATP13A3
AFX1,FOXO4
AG1,NBPF10
AG2,AGR2
AG2,C11orf96
AG2S,AGTR1
AGAP7,AGAP7P
AGAP8,AGAP4
AGAS,NAGS
AGAT,GATM
AGC1,ACAN
AGD1,MIR100HG
AGD2,MIR4435-1HG
AGD3,C12orf75
AGF,ANGPTL6
AGGG,NDUFB2
AGGRUS,PDPN
AGIF,IL11
AGKY1,AGKP1
AGM1,PGM3
AGMX1,BTK
AGO,FBXW7
AGO61,POMGNT2
AGP-B,ORM2
AGP-B',ORM2
AGP2,ORM2
AGP7,PRTN3
AGPAT7,LPCAT4
AGPAT8,LCLAT1
AGPHD1,HYKK
AGR1,TXNDC12
AGR16,S1PR2
AGRIN,AGRN
AGRINL,EGFLAM
AGRNL,EGFLAM
AGRNR,DAG1
AGRT,AGRP
AGS,JAG1
AGS1,TREX1
AGS1,RASD1
AGS2,RNASEH2B
AGS3,GPSM1
AGS3,RNASEH2C
AGS4,GPSM3
AGS4,RNASEH2A
AGS5,SAMHD1
AGSK1,GOLGA2P10
AGT,AGXT
AGT-1,SLC7A13
AGT1,AGXT
AGT2,AGXT2
AGTAVPRL,NLRP3
AGTBP,NLN
AGTIL,ASIP
AGTR1A,AGTR1
AGTR1B,AGTR1
AGTRL1,APLNR
AGU1,PAPPA-AS2
AGU2,DANCR
AGX,UAP1
AGX1,UAP1
AGXT1,AGXT
AGXT2L1,ETNPPL
AGXT2L2,PHYKPL
AHAS,ILVBL
AHC,NR0B1
AHCH,NR0B1
AHCP,FAM8A1
AHCTF1P,AHCTF1P1
AHD,JAG1
AHDS,SLC16A2
AHH,AHRR
AHHR,AHRR
AHIF,HIF1A-AS2
AIB1,NCOA3
AIB3,NCOA6
AIBC1,BCAS1
AIBP,AUNIP
AIBP,APOA1BP
AIBZIP,CREB3L4
AICARFT,ATIC
AICL,CLEC2B
AID,AICDA
AIDA-1,ANKS1B
AIDD,DCD
AIE-75,USH1C
AIEBP,USHBP1
AIED,CACNA1F
AIF,AIFM1
AIF-1,AIF1
AIFL,AIFM3
AIG-1,AIG1
AIG1L,ADTRP
AIGF,FGF8
AIGP1,SERINC3
AIH1,AMELX
AIH2,ENAM
AII,NLRP3
AIID,FOXP3
AIK,AURKA
AIK2,AURKB
AILIM,ICOS
AIM-1,AURKB
AIM-1,SLC45A2
AIM29,C2orf76
AIMP3,EEF1E1
AIOLOS,IKZF3
AIP,AURKAIP1
AIP,AIP
AIP-1,ABI2
AIP1,DAB2IP
AIP1,MAGI2
AIP1,ACTRT1
AIP1,ARL6IP1
AIP1,PDCD6IP
AIP2,WWP2
AIP3,MAGI1
AIP4,ITCH
AIP5,WWP1
AIP70,IRAK1BP1
AIPLA2,PRDX6
AIR,AIRN
AIR1,ZCCHC7
AIRAP,ZFAND2A
AIRAPL,ZFAND2B
AIRC,PAICS
AIRP,NT5C1B
AIS,AR
AIT,SLC5A8
AITD3,TG
AITR,TNFRSF18
AITRL,TNFSF18
AK,ADK
AK023948,PTCSC1
AK155,IL26
AK2B,AK2P1
AK3,AK4
AK3L1,AK3
AK3L1,AK4
AK3L2,AK4P3
AK3L2P,AK4P3
AK3P1,AK4P1
AK6,AK3
AK6,AK6
AKA,NEUROG1
AKAP-KL,AKAP2
AKAP-LBC,AKAP13
AKAP100,AKAP6
AKAP110,AKAP3
AKAP121,AKAP1
AKAP149,AKAP1
AKAP15,AKAP7
AKAP16B,AKAP17BP
AKAP16BP,AKAP17BP
AKAP18,AKAP7
AKAP220,AKAP11
AKAP250,AKAP12
AKAP28,AKAP14
AKAP350,AKAP9
AKAP450,AKAP9
AKAP75,AKAP5
AKAP79,AKAP5
AKAP82,AKAP4
AKAP84,AKAP1
AKAP95,AKAP8
AKD1,AK9
AKD2,AK9
AKGR,OXGR1
AKIP,AURKAIP1
AKL3L1,AK3
AKNAD1-AS1,SPATA42
AKR1B11,AKR1B10
AKR1B12,AKR1B10
AKR1B1P,AKR1B1P5
AKR1CL1,AKR1C8P
AKR1CL2,AKR1E2
AKR1D1P,AKR1D1P1
AKR6A3,KCNAB1
AKR6A5,KCNAB2
AKR6A9,KCNAB3
AKRDC1,AKR1E2
AKT,AKT1
AKU,HGD
ALADH,ALAD
ALAS,ALAS1
ALAS3,ALAS1
ALB,FBF1
ALB,ALB
ALB2,AFM
ALBA,AFM
ALC,ALLC
ALC1,CHD1L
ALC1,MYL4
ALCAT1,LCLAT1
ALD,ABCD1
ALDH1,ALDH1A1
ALDH10,ALDH3A2
ALDH12,ALDH8A1
ALDH3,ALDH3A1
ALDH4,ALDH4A1
ALDH4,ALDH9A1
ALDH5,ALDH1B1
ALDH6,ALDH1A3
ALDH7,ALDH3B1
ALDH7,ALDH9A1
ALDH8,ALDH3B2
ALDH9,ALDH9A1
ALDHPSY,AGPS
ALDHX,ALDH1B1
ALDI,METTL7B
ALDL1,ABCD2
ALDOS,CYP11B2
ALDP,ABCD1
ALDR,ABCD2
ALDR1,AKR1B1
ALDRL1,AKR1B1P1
ALDRL3,AKR1B1P3
ALDRL4,AKR1B1P4
ALDRL6,MIOX
ALDRLN,AKR1B10
ALDRP,AKR1B1P2
